Using device: cpu
Starting training...

Episode 1	Average Score (100): -213.72	Epsilon: 1.00
Episode 2	Average Score (100): -163.08	Epsilon: 0.99
Episode 3	Average Score (100): -222.97	Epsilon: 0.99
Episode 4	Average Score (100): -202.14	Epsilon: 0.99
Episode 5	Average Score (100): -180.43	Epsilon: 0.99
Episode 6	Average Score (100): -172.83	Epsilon: 0.98
Episode 7	Average Score (100): -192.47	Epsilon: 0.98
Episode 8	Average Score (100): -192.51	Epsilon: 0.98
Episode 9	Average Score (100): -205.78	Epsilon: 0.97
Episode 10	Average Score (100): -211.32	Epsilon: 0.97
Episode 11	Average Score (100): -206.73	Epsilon: 0.97
Episode 12	Average Score (100): -204.81	Epsilon: 0.96
Episode 13	Average Score (100): -208.13	Epsilon: 0.96
Episode 14	Average Score (100): -203.86	Epsilon: 0.96
Episode 15	Average Score (100): -199.10	Epsilon: 0.96
Episode 16	Average Score (100): -193.58	Epsilon: 0.95
Episode 17	Average Score (100): -194.45	Epsilon: 0.95
Episode 18	Average Score (100): -199.66	Epsilon: 0.95
Episode 19	Average Score (100): -193.95	Epsilon: 0.94
Episode 20	Average Score (100): -197.38	Epsilon: 0.94
Episode 21	Average Score (100): -206.57	Epsilon: 0.94
Episode 22	Average Score (100): -205.62	Epsilon: 0.94
Episode 23	Average Score (100): -201.73	Epsilon: 0.93
Episode 24	Average Score (100): -203.31	Epsilon: 0.93
Episode 25	Average Score (100): -197.92	Epsilon: 0.93
Episode 26	Average Score (100): -196.41	Epsilon: 0.92
Episode 27	Average Score (100): -193.36	Epsilon: 0.92
Episode 28	Average Score (100): -195.09	Epsilon: 0.92
Episode 29	Average Score (100): -193.02	Epsilon: 0.92
Episode 30	Average Score (100): -188.10	Epsilon: 0.91
Episode 31	Average Score (100): -185.68	Epsilon: 0.91
Episode 32	Average Score (100): -182.98	Epsilon: 0.91
Episode 33	Average Score (100): -180.95	Epsilon: 0.91
Episode 34	Average Score (100): -179.31	Epsilon: 0.90
Episode 35	Average Score (100): -177.37	Epsilon: 0.90
Episode 36	Average Score (100): -174.28	Epsilon: 0.90
Episode 37	Average Score (100): -175.09	Epsilon: 0.89
Episode 38	Average Score (100): -175.34	Epsilon: 0.89
Episode 39	Average Score (100): -175.78	Epsilon: 0.89
Episode 40	Average Score (100): -175.01	Epsilon: 0.89
Episode 41	Average Score (100): -173.19	Epsilon: 0.88
Episode 42	Average Score (100): -171.12	Epsilon: 0.88
Episode 43	Average Score (100): -174.87	Epsilon: 0.88
Episode 44	Average Score (100): -172.85	Epsilon: 0.88
Episode 45	Average Score (100): -171.51	Epsilon: 0.87
Episode 46	Average Score (100): -171.44	Epsilon: 0.87
Episode 47	Average Score (100): -170.14	Epsilon: 0.87
Episode 48	Average Score (100): -168.39	Epsilon: 0.87
Episode 49	Average Score (100): -166.87	Epsilon: 0.86
Episode 50	Average Score (100): -165.31	Epsilon: 0.86
Episode 51	Average Score (100): -163.64	Epsilon: 0.86
Episode 52	Average Score (100): -165.08	Epsilon: 0.86
Episode 53	Average Score (100): -163.68	Epsilon: 0.85
Episode 54	Average Score (100): -162.98	Epsilon: 0.85
Episode 55	Average Score (100): -164.95	Epsilon: 0.85
Episode 56	Average Score (100): -164.49	Epsilon: 0.85
Episode 57	Average Score (100): -163.03	Epsilon: 0.84
Episode 58	Average Score (100): -162.31	Epsilon: 0.84
Episode 59	Average Score (100): -161.05	Epsilon: 0.84
Episode 60	Average Score (100): -161.30	Epsilon: 0.84
Episode 61	Average Score (100): -159.91	Epsilon: 0.83
Episode 62	Average Score (100): -160.40	Epsilon: 0.83
Episode 63	Average Score (100): -160.65	Epsilon: 0.83
Episode 64	Average Score (100): -159.27	Epsilon: 0.83
Episode 65	Average Score (100): -159.27	Epsilon: 0.82
Episode 66	Average Score (100): -157.44	Epsilon: 0.82
Episode 67	Average Score (100): -156.45	Epsilon: 0.82
Episode 68	Average Score (100): -157.53	Epsilon: 0.82
Episode 69	Average Score (100): -156.77	Epsilon: 0.81
Episode 70	Average Score (100): -156.91	Epsilon: 0.81
Episode 71	Average Score (100): -156.28	Epsilon: 0.81
Episode 72	Average Score (100): -155.81	Epsilon: 0.81
Episode 73	Average Score (100): -154.70	Epsilon: 0.80
Episode 74	Average Score (100): -155.12	Epsilon: 0.80
Episode 75	Average Score (100): -154.44	Epsilon: 0.80
Episode 76	Average Score (100): -154.11	Epsilon: 0.80
Episode 77	Average Score (100): -154.64	Epsilon: 0.79
Episode 78	Average Score (100): -153.69	Epsilon: 0.79
Episode 79	Average Score (100): -153.72	Epsilon: 0.79
Episode 80	Average Score (100): -152.83	Epsilon: 0.79
Episode 81	Average Score (100): -152.72	Epsilon: 0.78
Episode 82	Average Score (100): -153.22	Epsilon: 0.78
Episode 83	Average Score (100): -152.29	Epsilon: 0.78
Episode 84	Average Score (100): -151.33	Epsilon: 0.78
Episode 85	Average Score (100): -152.76	Epsilon: 0.77
Episode 86	Average Score (100): -151.86	Epsilon: 0.77
Episode 87	Average Score (100): -152.15	Epsilon: 0.77
Episode 88	Average Score (100): -151.30	Epsilon: 0.77
Episode 89	Average Score (100): -150.08	Epsilon: 0.77
Episode 90	Average Score (100): -149.67	Epsilon: 0.76
Episode 91	Average Score (100): -149.06	Epsilon: 0.76
Episode 92	Average Score (100): -148.65	Epsilon: 0.76
Episode 93	Average Score (100): -148.44	Epsilon: 0.76
Episode 94	Average Score (100): -147.38	Epsilon: 0.75
Episode 95	Average Score (100): -146.54	Epsilon: 0.75
