Используем устройство: cpu
Начинаем обучение... (Это может занять 10-20 минут)

Эпизод 1	Средний счет (100): -271.92	Epsilon: 1.00
Эпизод 2	Средний счет (100): -267.65	Epsilon: 0.99
Эпизод 3	Средний счет (100): -303.42	Epsilon: 0.99
Эпизод 4	Средний счет (100): -255.97	Epsilon: 0.99
Эпизод 5	Средний счет (100): -222.31	Epsilon: 0.99
Эпизод 6	Средний счет (100): -206.07	Epsilon: 0.98
Эпизод 7	Средний счет (100): -206.00	Epsilon: 0.98
Эпизод 8	Средний счет (100): -197.67	Epsilon: 0.98
Эпизод 9	Средний счет (100): -211.64	Epsilon: 0.97
Эпизод 10	Средний счет (100): -208.81	Epsilon: 0.97
Эпизод 11	Средний счет (100): -229.77	Epsilon: 0.97
Эпизод 12	Средний счет (100): -222.99	Epsilon: 0.96
Эпизод 13	Средний счет (100): -213.83	Epsilon: 0.96
Эпизод 14	Средний счет (100): -217.12	Epsilon: 0.96
Эпизод 15	Средний счет (100): -209.69	Epsilon: 0.96
Эпизод 16	Средний счет (100): -199.42	Epsilon: 0.95
Эпизод 17	Средний счет (100): -212.20	Epsilon: 0.95
Эпизод 18	Средний счет (100): -211.74	Epsilon: 0.95
Эпизод 19	Средний счет (100): -209.45	Epsilon: 0.94
Эпизод 20	Средний счет (100): -208.90	Epsilon: 0.94
Эпизод 21	Средний счет (100): -207.07	Epsilon: 0.94
Эпизод 22	Средний счет (100): -205.37	Epsilon: 0.94
Эпизод 23	Средний счет (100): -199.95	Epsilon: 0.93
Эпизод 24	Средний счет (100): -198.72	Epsilon: 0.93
Эпизод 25	Средний счет (100): -202.19	Epsilon: 0.93
Эпизод 26	Средний счет (100): -199.68	Epsilon: 0.92
Эпизод 27	Средний счет (100): -204.95	Epsilon: 0.92
Эпизод 28	Средний счет (100): -201.54	Epsilon: 0.92
Эпизод 29	Средний счет (100): -198.91	Epsilon: 0.92
Эпизод 30	Средний счет (100): -195.60	Epsilon: 0.91
Эпизод 31	Средний счет (100): -191.71	Epsilon: 0.91
Эпизод 32	Средний счет (100): -193.58	Epsilon: 0.91
Эпизод 33	Средний счет (100): -190.04	Epsilon: 0.91
Эпизод 34	Средний счет (100): -186.74	Epsilon: 0.90
Эпизод 35	Средний счет (100): -185.22	Epsilon: 0.90
Эпизод 36	Средний счет (100): -186.18	Epsilon: 0.90
Эпизод 37	Средний счет (100): -184.11	Epsilon: 0.89
Эпизод 38	Средний счет (100): -182.27	Epsilon: 0.89
Эпизод 39	Средний счет (100): -180.57	Epsilon: 0.89
Эпизод 40	Средний счет (100): -189.06	Epsilon: 0.89
Эпизод 41	Средний счет (100): -186.73	Epsilon: 0.88
Эпизод 42	Средний счет (100): -186.52	Epsilon: 0.88
Эпизод 43	Средний счет (100): -185.84	Epsilon: 0.88
Эпизод 44	Средний счет (100): -188.97	Epsilon: 0.88
Эпизод 45	Средний счет (100): -188.57	Epsilon: 0.87
Эпизод 46	Средний счет (100): -192.01	Epsilon: 0.87
Эпизод 47	Средний счет (100): -191.04	Epsilon: 0.87
Эпизод 48	Средний счет (100): -187.57	Epsilon: 0.87
Эпизод 49	Средний счет (100): -189.05	Epsilon: 0.86
